iteration,candidate_id,parent_id,valid,reward,score,bio_score,batch_mixing_score,embedding_shape,runtime_s,candidate_path,error
0,0,,True,1.027498096358162,1.027498096358162,0.5593490679633668,0.468149028394795,"[500, 20]",2.088,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3b_pbmc3k_era_iter10_conservative/candidates/cand_000.py,
1,1,0,True,1.070069915149361,1.070069915149361,0.5669490173459053,0.5031208978034556,"[500, 20]",1.969,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3b_pbmc3k_era_iter10_conservative/candidates/cand_001.py,
2,2,1,True,1.0688207710627466,1.0688207710627466,0.5655191168189049,0.5033016542438418,"[500, 20]",1.417,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3b_pbmc3k_era_iter10_conservative/candidates/cand_002.py,
3,3,1,True,1.0688207710627466,1.0688207710627466,0.5655191168189049,0.5033016542438418,"[500, 20]",1.449,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3b_pbmc3k_era_iter10_conservative/candidates/cand_003.py,
4,4,1,True,1.068820749875158,1.068820749875158,0.5655190944671631,0.503301655407995,"[500, 20]",1.942,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3b_pbmc3k_era_iter10_conservative/candidates/cand_004.py,
5,5,1,True,1.0688207710627466,1.0688207710627466,0.5655191168189049,0.5033016542438418,"[500, 20]",1.384,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3b_pbmc3k_era_iter10_conservative/candidates/cand_005.py,
6,6,5,True,1.070069915149361,1.070069915149361,0.5669490173459053,0.5031208978034556,"[500, 20]",1.401,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3b_pbmc3k_era_iter10_conservative/candidates/cand_006.py,
7,7,6,True,1.0688207710627466,1.0688207710627466,0.5655191168189049,0.5033016542438418,"[500, 20]",1.523,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3b_pbmc3k_era_iter10_conservative/candidates/cand_007.py,
8,8,6,True,1.0565171046182513,1.0565171046182513,0.5532041601836681,0.5033129444345832,"[500, 20]",1.428,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3b_pbmc3k_era_iter10_conservative/candidates/cand_008.py,
9,9,6,True,1.0688207710627466,1.0688207710627466,0.5655191168189049,0.5033016542438418,"[500, 20]",1.329,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3b_pbmc3k_era_iter10_conservative/candidates/cand_009.py,
10,10,6,True,1.0688207710627466,1.0688207710627466,0.5655191168189049,0.5033016542438418,"[500, 20]",1.868,/Users/zhangweikun/era/implementation/saved_runs/scrna_d3b_pbmc3k_era_iter10_conservative/candidates/cand_010.py,
